,return_time,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.),departure_time_2
216,2019-06-30 04:15:46,202,Merihaka,1.0,Kaivopuisto,4039.0,1204,2019-06-30 03:55:38
217,2019-06-30 04:10:55,161,Eteläesplanadi,121.0,Vilhonvuorenkatu,3085.0,917,2019-06-30 03:55:33
218,2019-06-30 04:02:10,40,Hakaniemi (M),122.0,Lintulahdenkatu,941.0,399,2019-06-30 03:55:27
219,2019-06-30 04:15:46,202,Merihaka,1.0,Kaivopuisto,4020.0,1221,2019-06-30 03:55:20
220,2019-06-30 04:17:23,122,Lintulahdenkatu,8.0,Vanha kirkkopuisto,3444.0,1346,2019-06-30 03:54:52
221,2019-06-30 04:10:48,70,Sammonpuistikko,95.0,Munkkiniemen aukio,3836.0,954,2019-06-30 03:54:49
222,2019-06-30 04:15:13,122,Lintulahdenkatu,132.0,Hollolantie,3990.0,1222,2019-06-30 03:54:46
223,2019-06-30 03:58:29,201,Länsisatamankuja,30.0,Itämerentori,1098.0,221,2019-06-30 03:54:43
224,2019-06-30 04:01:09,40,Hakaniemi (M),16.0,Liisanpuistikko,967.0,384,2019-06-30 03:54:40
225,2019-06-30 04:06:20,122,Lintulahdenkatu,19.0,Rautatientori / itä,2340.0,698,2019-06-30 03:54:40
226,2019-06-30 04:11:43,18,Porthania,80.0,Jäähalli,3079.0,1019,2019-06-30 03:54:39
227,2019-06-30 04:02:39,69,Kalevankatu,201.0,Länsisatamankuja,1596.0,513,2019-06-30 03:54:02
228,2019-06-30 03:54:40,161,Eteläesplanadi,161.0,Eteläesplanadi,10.0,49,2019-06-30 03:53:47
229,2019-06-30 03:59:56,37,Töölönkatu,22.0,Rautatientori / länsi,1208.0,366,2019-06-30 03:53:46
230,2019-06-30 04:03:35,150,Töölönlahden puisto,75.0,Korjaamo,1353.0,586,2019-06-30 03:53:44
231,2019-06-30 04:15:42,40,Hakaniemi (M),260.0,Herttoniemi (M),5377.0,1319,2019-06-30 03:53:41
